[['X', 'O', 'X'], ['X', None, 'O'], ['O', 'X', None]]@0@O
[[None, 'O', 'X'], ['X', None, 'O'], ['O', 'X', 'X']]@0@O
[['X', 'O', None], ['O', None, 'X'], ['X', 'X', 'O']]@0@O
[[None, 'X', 'O'], ['O', None, 'X'], ['X', 'O', 'X']]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], [None, 'X', 'O']]@0@O
[['O', 'X', 'X'], ['X', None, 'O'], [None, 'O', 'X']]@0@O
[['O', 'X', None], ['X', None, 'O'], ['X', 'O', 'X']]@0@O
[[None, 'O', 'X'], [None, None, 'O'], ['O', 'X', 'X']]@0@O
[['O', None, None], ['X', None, 'O'], ['X', 'O', 'X']]@0@O
[[None, None, 'O'], ['O', None, 'X'], ['X', 'O', 'X']]@0@O
[['X', 'O', None], ['O', None, None], ['X', 'X', 'O']]@0@O
[['X', 'O', 'X'], ['X', None, 'O'], ['O', None, None]]@0@O
[['X', 'X', 'O'], ['O', None, None], ['X', 'O', None]]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], [None, None, 'O']]@0@O
[['O', 'X', 'X'], [None, None, 'O'], [None, 'O', 'X']]@0@O
[['X', 'O', 'X'], ['O', None, 'X'], [None, None, None]]@0@O
